CUST_CODE,TotalSpend,TotalVisits,TotalSKUs,FirstDate,LastDate,TotalQuantity,TicketSize,total_days,recency,avg_Quantity_per_TotalVisit,Cluster
CUST0000000181,2.44,1,1,2007-01-06,2007-01-06,1,2.44,1,547,1.0,Cluster 0
CUST0000000369,959.329999999998,220,189,2006-04-16,2008-07-05,923,4.3605909090909,812,1,4.195454545454545,Cluster 3
CUST0000000689,328.5700000000003,16,116,2007-07-22,2008-06-23,334,20.535625000000017,338,13,20.875,Cluster 1
CUST0000000998,5.95,3,4,2006-05-04,2006-07-07,6,1.9833333333333334,65,730,2.0,Cluster 0
CUST0000001163,39.74000000000001,4,24,2006-10-22,2008-06-22,34,9.935000000000002,610,14,8.5,Cluster 2
CUST0000001194,2493.8300000000086,103,403,2006-04-22,2008-06-20,1705,24.211941747572897,791,16,16.553398058252426,Cluster 3
CUST0000002257,1.99,1,1,2006-07-21,2006-07-21,1,1.99,1,716,1.0,Cluster 0
CUST0000002499,0.34,1,1,2006-04-14,2006-04-14,1,0.34,1,814,1.0,Cluster 0
CUST0000002605,1.8,6,1,2006-10-08,2008-06-12,6,0.3,614,24,1.0,Cluster 2
CUST0000002637,124.63000000000002,15,53,2006-08-03,2008-05-30,126,8.308666666666669,667,37,8.4,Cluster 2
CUST0000002638,15.59,1,4,2007-04-14,2007-04-14,6,15.59,1,449,6.0,Cluster 0
CUST0000002813,145.0200000000001,12,73,2007-07-31,2008-04-12,118,12.085000000000008,257,85,9.833333333333334,Cluster 2
CUST0000003028,10.61,6,7,2007-09-16,2008-01-04,8,1.7683333333333333,111,184,1.3333333333333333,Cluster 0
CUST0000003044,32.169999999999995,2,21,2007-01-13,2007-01-24,37,16.084999999999997,12,529,18.5,Cluster 0
CUST0000003252,3.83,2,3,2007-10-11,2008-04-04,5,1.915,177,93,2.5,Cluster 0
CUST0000003287,254.10000000000002,13,122,2006-05-02,2008-05-10,227,19.54615384615385,740,57,17.46153846153846,Cluster 2
CUST0000003323,6.3100000000000005,2,5,2007-01-01,2007-08-29,7,3.1550000000000002,241,312,3.5,Cluster 0
CUST0000003667,6.9799999999999995,1,2,2007-01-11,2007-01-11,2,6.9799999999999995,1,542,2.0,Cluster 0
CUST0000004088,900.2999999999985,82,239,2006-04-13,2008-06-29,912,10.979268292682908,809,7,11.121951219512194,Cluster 2
CUST0000004507,2.35,1,2,2007-06-17,2007-06-17,2,2.35,1,385,2.0,Cluster 0
CUST0000004781,6.72,1,4,2007-10-25,2007-10-25,6,6.72,1,255,6.0,Cluster 0
CUST0000005053,10.989999999999998,4,4,2006-04-10,2007-07-15,9,2.7474999999999996,462,357,2.25,Cluster 0
CUST0000005054,80.06000000000003,8,26,2006-05-29,2008-06-15,56,10.007500000000004,749,21,7.0,Cluster 2
CUST0000005057,102.49000000000004,4,26,2006-10-11,2008-04-09,68,25.62250000000001,547,88,17.0,Cluster 2
CUST0000005207,7.94,2,6,2007-03-18,2007-06-22,10,3.97,97,380,5.0,Cluster 0
CUST0000005551,36.879999999999995,2,34,2006-10-07,2007-09-16,40,18.439999999999998,345,294,20.0,Cluster 1
CUST0000005626,0.7,1,1,2006-07-24,2006-07-24,1,0.7,1,713,1.0,Cluster 0
